num_nodes,probability_of_edge,seed,k,el,visibility_func,heuristic_func,order_of_j,complete_search,upperbound_pruning,num_evaluated_partitions,num_valid_partitions,num_skipped_partitions,num_expanded_nodes,num_anonymized_paths,num_evaluated_partitions_till_first,num_expanded_nodes_till_first,avg_cost_anonymized_paths
11,0.2,1,2,0,identity,blind,random,1,0,1218,30,0,57776,8,5,233,5.5
11,0.2,2,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
11,0.2,3,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
11,0.2,4,2,0,identity,blind,random,1,0,1543,50,0,83549,8,5,243,4
11,0.2,5,2,0,identity,blind,random,1,0,2,1,0,25,2,2,25,5
11,0.3,1,2,0,identity,blind,random,1,0,5993,159,0,379769,9,6,351,5.33333
11,0.3,2,2,0,identity,blind,random,1,0,8059,237,0,529546,9,6,325,5.77778
11,0.3,3,2,0,identity,blind,random,1,0,1985,91,0,116118,8,5,241,4.5
11,0.3,4,2,0,identity,blind,random,1,0,6518,156,0,440223,9,6,363,4.66667
11,0.3,5,2,0,identity,blind,random,1,0,3656,99,0,168167,9,6,291,5.55556
11,0.4,1,2,0,identity,blind,random,1,0,4499,139,0,280434,9,6,345,3.77778
11,0.4,2,2,0,identity,blind,random,1,0,8142,359,0,453949,9,6,317,4.88889
11,0.4,3,2,0,identity,blind,random,1,0,3026,51,0,176333,9,6,307,3.33333
11,0.4,4,2,0,identity,blind,random,1,0,4107,120,0,234113,9,6,328,3.77778
11,0.4,5,2,0,identity,blind,random,1,0,10976,667,0,786616,9,6,342,4.88889
12,0.2,1,2,0,identity,blind,random,1,0,7446,206,0,439600,9,6,306,5.44444
12,0.2,2,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
12,0.2,3,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
12,0.2,4,2,0,identity,blind,random,1,0,2096,51,0,118359,8,5,247,4.75
12,0.2,5,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
12,0.3,1,2,0,identity,blind,random,1,0,9593,273,0,635430,10,6,331,4
12,0.3,2,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
12,0.3,3,2,0,identity,blind,random,1,0,15680,137,0,1001620,10,6,343,4.8
12,0.3,4,2,0,identity,blind,random,1,0,21681,240,0,1572006,10,6,371,4.6
12,0.3,5,2,0,identity,blind,random,1,0,5313,127,0,312787,10,6,368,4.2
12,0.4,1,2,0,identity,blind,random,1,0,10936,56,0,747349,10,6,413,4
12,0.4,2,2,0,identity,blind,random,1,0,25083,414,0,1562470,10,6,291,3.8
12,0.4,3,2,0,identity,blind,random,1,0,5945,42,0,353851,10,6,337,3.4
12,0.4,4,2,0,identity,blind,random,1,0,17454,139,0,1248861,10,6,403,4
12,0.4,5,2,0,identity,blind,random,1,0,5675,86,0,320826,10,6,330,3.6
13,0.2,1,2,0,identity,blind,random,1,0,22666,224,0,1490583,10,6,324,5
13,0.2,2,2,0,identity,blind,random,1,0,613,37,0,28532,8,5,243,4.125
13,0.2,3,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
13,0.2,4,2,0,identity,blind,random,1,0,82909,646,0,5834951,11,7,486,5.27273
13,0.2,5,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
13,0.3,1,2,0,identity,blind,random,1,0,31189,169,0,2175606,11,7,489,4.36364
13,0.3,2,2,0,identity,blind,random,1,0,68241,341,0,4468650,11,7,457,5.63636
13,0.3,3,2,0,identity,blind,random,1,0,64786,459,0,5121992,11,7,486,5.63636
13,0.3,4,2,0,identity,blind,random,1,0,37384,380,0,2658791,11,7,458,4.36364
13,0.3,5,2,0,identity,blind,random,1,0,67481,670,0,5483930,11,7,522,4.90909
13,0.4,1,2,0,identity,blind,random,1,0,85422,1010,0,7237661,11,7,547,3.45455
13,0.4,2,2,0,identity,blind,random,1,0,48611,403,0,3169030,11,7,422,4
13,0.4,3,2,0,identity,blind,random,1,0,84434,820,0,6735501,11,7,485,3.81818
13,0.4,4,2,0,identity,blind,random,1,0,69792,579,0,5596651,11,7,507,3.63636
13,0.4,5,2,0,identity,blind,random,1,0,76333,996,0,5787030,11,7,453,3.81818
11,0.2,1,2,0,identity,singleton,nearestdist,1,1,175,3,886,3113,8,6,93,5.5
11,0.2,2,2,0,identity,singleton,nearestdist,1,1,1,1,0,0,0,1,0,-nan
11,0.2,3,2,0,identity,singleton,nearestdist,1,1,1,1,0,0,0,1,0,-nan
11,0.2,4,2,0,identity,singleton,nearestdist,1,1,287,4,1384,3935,8,6,64,4
11,0.2,5,2,0,identity,singleton,nearestdist,1,1,2,1,0,16,2,2,16,5
11,0.3,1,2,0,identity,singleton,nearestdist,1,1,869,7,3407,14491,9,7,98,5.33333
11,0.3,2,2,0,identity,singleton,nearestdist,1,1,997,5,7295,21543,9,6,88,5.77778
11,0.3,3,2,0,identity,singleton,nearestdist,1,1,413,15,1656,5822,8,6,73,4.5
11,0.3,4,2,0,identity,singleton,nearestdist,1,1,1003,9,5591,22436,9,7,118,4.66667
11,0.3,5,2,0,identity,singleton,nearestdist,1,1,435,3,1689,7527,9,6,86,5.55556
11,0.4,1,2,0,identity,singleton,nearestdist,1,1,640,2,2533,6038,9,6,67,3.77778
11,0.4,2,2,0,identity,singleton,nearestdist,1,1,756,2,3751,12390,9,6,77,4.88889
11,0.4,3,2,0,identity,singleton,nearestdist,1,1,464,2,2528,5046,9,6,58,3.33333
11,0.4,4,2,0,identity,singleton,nearestdist,1,1,528,1,2027,5622,9,6,67,3.77778
11,0.4,5,2,0,identity,singleton,nearestdist,1,1,2101,4,10370,31331,9,6,83,4.88889
12,0.2,1,2,0,identity,singleton,nearestdist,1,1,1054,4,5668,22892,9,6,86,5.44444
12,0.2,2,2,0,identity,singleton,nearestdist,1,1,1,1,0,0,0,1,0,-nan
12,0.2,3,2,0,identity,singleton,nearestdist,1,1,1,1,0,0,0,1,0,-nan
12,0.2,4,2,0,identity,singleton,nearestdist,1,1,600,21,2215,8785,8,7,137,4.75
12,0.2,5,2,0,identity,singleton,nearestdist,1,1,1,1,0,0,0,1,0,-nan
12,0.3,1,2,0,identity,singleton,nearestdist,1,1,326,4,1605,4648,10,7,82,4
12,0.3,2,2,0,identity,singleton,nearestdist,1,1,1,1,0,0,0,1,0,-nan
12,0.3,3,2,0,identity,singleton,nearestdist,1,1,1984,12,15603,49023,10,7,92,4.8
12,0.3,4,2,0,identity,singleton,nearestdist,1,1,3082,19,18348,65864,10,8,132,4.6
12,0.3,5,2,0,identity,singleton,nearestdist,1,1,17,2,120,241,10,7,93,4.2
12,0.4,1,2,0,identity,singleton,nearestdist,1,1,1441,6,8459,18496,10,7,94,4
12,0.4,2,2,0,identity,singleton,nearestdist,1,1,3062,19,15021,43166,10,7,85,3.8
12,0.4,3,2,0,identity,singleton,nearestdist,1,1,742,6,4092,8983,10,6,64,3.4
12,0.4,4,2,0,identity,singleton,nearestdist,1,1,2859,30,13793,35847,10,7,84,4
12,0.4,5,2,0,identity,singleton,nearestdist,1,1,287,1,1558,3933,10,6,71,3.6
13,0.2,1,2,0,identity,singleton,nearestdist,1,1,3197,7,20727,74111,10,7,103,5
13,0.2,2,2,0,identity,singleton,nearestdist,1,1,90,6,202,835,8,6,68,4.25
13,0.2,3,2,0,identity,singleton,nearestdist,1,1,1,1,0,0,0,1,0,-nan
13,0.2,4,2,0,identity,singleton,nearestdist,1,1,9571,21,86084,247509,11,8,142,5.27273
13,0.2,5,2,0,identity,singleton,nearestdist,1,1,1,1,0,0,0,1,0,-nan
13,0.3,1,2,0,identity,singleton,nearestdist,1,1,2803,3,16253,42048,11,7,91,4.36364
13,0.3,2,2,0,identity,singleton,nearestdist,1,1,3767,3,31145,109033,11,7,105,5.63636
13,0.3,3,2,0,identity,singleton,nearestdist,1,1,9118,45,39833,203822,11,7,115,5.72727
13,0.3,4,2,0,identity,singleton,nearestdist,1,1,3361,13,15783,49598,11,8,129,4.36364
13,0.3,5,2,0,identity,singleton,nearestdist,1,1,4593,7,32104,90350,11,7,104,4.90909
13,0.4,1,2,0,identity,singleton,nearestdist,1,1,10815,16,70292,149031,11,7,73,3.45455
13,0.4,2,2,0,identity,singleton,nearestdist,1,1,6974,8,35636,83225,11,7,101,4
13,0.4,3,2,0,identity,singleton,nearestdist,1,1,10646,19,76666,199171,11,7,85,3.81818
13,0.4,4,2,0,identity,singleton,nearestdist,1,1,9800,17,62000,129213,11,7,81,3.63636
13,0.4,5,2,0,identity,singleton,nearestdist,1,1,12178,37,93161,179105,11,7,89,3.81818
11,0.2,1,2,0,identity,singleton,nearest,1,1,184,3,789,3214,8,5,79,5.5
11,0.2,2,2,0,identity,singleton,nearest,1,1,1,1,0,0,0,1,0,-nan
11,0.2,3,2,0,identity,singleton,nearest,1,1,1,1,0,0,0,1,0,-nan
11,0.2,4,2,0,identity,singleton,nearest,1,1,361,12,1477,4921,8,5,63,4
11,0.2,5,2,0,identity,singleton,nearest,1,1,2,1,0,16,2,2,16,5
11,0.3,1,2,0,identity,singleton,nearest,1,1,922,13,2973,15382,9,6,96,5.33333
11,0.3,2,2,0,identity,singleton,nearest,1,1,1384,8,7176,26765,9,6,108,5.77778
11,0.3,3,2,0,identity,singleton,nearest,1,1,415,16,1368,5783,8,5,67,4.5
11,0.3,4,2,0,identity,singleton,nearest,1,1,1019,7,5089,22276,9,6,99,4.66667
11,0.3,5,2,0,identity,singleton,nearest,1,1,643,9,2052,10024,9,6,121,5.55556
11,0.4,1,2,0,identity,singleton,nearest,1,1,791,6,2448,7141,9,6,95,3.77778
11,0.4,2,2,0,identity,singleton,nearest,1,1,1357,19,4877,21261,9,6,120,4.88889
11,0.4,3,2,0,identity,singleton,nearest,1,1,477,6,2149,5144,9,6,75,3.33333
11,0.4,4,2,0,identity,singleton,nearest,1,1,731,11,2171,7720,9,6,90,3.77778
11,0.4,5,2,0,identity,singleton,nearest,1,1,2276,9,10003,32371,9,6,109,4.88889
12,0.2,1,2,0,identity,singleton,nearest,1,1,1255,10,5261,26248,9,6,95,5.44444
12,0.2,2,2,0,identity,singleton,nearest,1,1,1,1,0,0,0,1,0,-nan
12,0.2,3,2,0,identity,singleton,nearest,1,1,1,1,0,0,0,1,0,-nan
12,0.2,4,2,0,identity,singleton,nearest,1,1,594,19,1888,8478,8,5,73,4.75
12,0.2,5,2,0,identity,singleton,nearest,1,1,1,1,0,0,0,1,0,-nan
12,0.3,1,2,0,identity,singleton,nearest,1,1,894,22,3316,12661,10,6,90,4
12,0.3,2,2,0,identity,singleton,nearest,1,1,1,1,0,0,0,1,0,-nan
12,0.3,3,2,0,identity,singleton,nearest,1,1,2006,12,13605,49263,10,6,96,4.8
12,0.3,4,2,0,identity,singleton,nearest,1,1,3178,20,15708,66900,10,6,102,4.6
12,0.3,5,2,0,identity,singleton,nearest,1,1,331,14,833,3838,10,6,97,4.2
12,0.4,1,2,0,identity,singleton,nearest,1,1,1445,5,7169,18531,10,6,76,4
12,0.4,2,2,0,identity,singleton,nearest,1,1,3860,48,15850,51008,10,6,89,3.8
12,0.4,3,2,0,identity,singleton,nearest,1,1,744,7,3595,9007,10,6,75,3.4
12,0.4,4,2,0,identity,singleton,nearest,1,1,2920,31,10809,36193,10,6,84,4
12,0.4,5,2,0,identity,singleton,nearest,1,1,545,9,2179,6126,10,6,89,3.6
13,0.2,1,2,0,identity,singleton,nearest,1,1,3258,9,17042,74416,10,6,95,5
13,0.2,2,2,0,identity,singleton,nearest,1,1,87,8,219,774,8,5,71,4.25
13,0.2,3,2,0,identity,singleton,nearest,1,1,1,1,0,0,0,1,0,-nan
13,0.2,4,2,0,identity,singleton,nearest,1,1,9470,22,69479,236979,11,7,126,5.27273
13,0.2,5,2,0,identity,singleton,nearest,1,1,1,1,0,0,0,1,0,-nan
13,0.3,1,2,0,identity,singleton,nearest,1,1,2882,5,12520,42046,11,7,107,4.36364
13,0.3,2,2,0,identity,singleton,nearest,1,1,6437,10,40548,160789,11,7,149,5.63636
13,0.3,3,2,0,identity,singleton,nearest,1,1,9128,47,35532,203719,11,7,127,5.72727
13,0.3,4,2,0,identity,singleton,nearest,1,1,3582,15,15041,52246,11,7,102,4.36364
13,0.3,5,2,0,identity,singleton,nearest,1,1,6744,17,34824,120927,11,7,129,4.90909
13,0.4,1,2,0,identity,singleton,nearest,1,1,12083,35,63778,166585,11,7,108,3.45455
13,0.4,2,2,0,identity,singleton,nearest,1,1,8251,12,29070,93535,11,7,123,4
13,0.4,3,2,0,identity,singleton,nearest,1,1,12224,22,66415,225276,11,7,92,3.81818
13,0.4,4,2,0,identity,singleton,nearest,1,1,10328,25,52908,136773,11,7,101,3.63636
13,0.4,5,2,0,identity,singleton,nearest,1,1,10417,19,68960,156864,11,7,104,3.81818
11,0.2,1,2,0,identity,singleton,random,1,1,184,3,1405,3241,8,5,79,5.5
11,0.2,2,2,0,identity,singleton,random,1,1,1,1,0,0,0,1,0,-nan
11,0.2,3,2,0,identity,singleton,random,1,1,1,1,0,0,0,1,0,-nan
11,0.2,4,2,0,identity,singleton,random,1,1,361,12,1990,4948,8,5,63,4
11,0.2,5,2,0,identity,singleton,random,1,1,2,1,0,16,2,2,16,5
11,0.3,1,2,0,identity,singleton,random,1,1,919,13,7463,15309,9,6,96,5.33333
11,0.3,2,2,0,identity,singleton,random,1,1,1384,8,11600,26947,9,6,108,5.77778
11,0.3,3,2,0,identity,singleton,random,1,1,415,16,2478,5783,8,5,67,4.5
11,0.3,4,2,0,identity,singleton,random,1,1,1019,7,7992,22422,9,6,99,4.66667
11,0.3,5,2,0,identity,singleton,random,1,1,643,9,4034,10024,9,6,121,5.55556
11,0.4,1,2,0,identity,singleton,random,1,1,791,6,4865,7176,9,6,95,3.77778
11,0.4,2,2,0,identity,singleton,random,1,1,1356,19,9890,21430,9,6,120,4.88889
11,0.4,3,2,0,identity,singleton,random,1,1,477,6,3723,5177,9,6,75,3.33333
11,0.4,4,2,0,identity,singleton,random,1,1,731,11,4896,7720,9,6,90,3.77778
11,0.4,5,2,0,identity,singleton,random,1,1,2276,9,17075,32526,9,6,109,4.88889
12,0.2,1,2,0,identity,singleton,random,1,1,1255,10,10199,26646,9,6,95,5.44444
12,0.2,2,2,0,identity,singleton,random,1,1,1,1,0,0,0,1,0,-nan
12,0.2,3,2,0,identity,singleton,random,1,1,1,1,0,0,0,1,0,-nan
12,0.2,4,2,0,identity,singleton,random,1,1,594,19,3199,8617,8,5,73,4.75
12,0.2,5,2,0,identity,singleton,random,1,1,1,1,0,0,0,1,0,-nan
12,0.3,1,2,0,identity,singleton,random,1,1,894,22,7629,12806,10,6,90,4
12,0.3,2,2,0,identity,singleton,random,1,1,1,1,0,0,0,1,0,-nan
12,0.3,3,2,0,identity,singleton,random,1,1,2006,12,21698,49704,10,6,96,4.8
12,0.3,4,2,0,identity,singleton,random,1,1,3178,20,30591,67662,10,6,102,4.6
12,0.3,5,2,0,identity,singleton,random,1,1,331,14,2574,3838,10,6,97,4.2
12,0.4,1,2,0,identity,singleton,random,1,1,1445,5,12387,18535,10,6,76,4
12,0.4,2,2,0,identity,singleton,random,1,1,3860,48,36650,51209,10,6,89,3.8
12,0.4,3,2,0,identity,singleton,random,1,1,744,7,6658,9012,10,6,75,3.4
12,0.4,4,2,0,identity,singleton,random,1,1,2920,31,23011,36233,10,6,84,4
12,0.4,5,2,0,identity,singleton,random,1,1,545,9,4469,6126,10,6,89,3.6
13,0.2,1,2,0,identity,singleton,random,1,1,3258,9,34424,75319,10,6,95,5
13,0.2,2,2,0,identity,singleton,random,1,1,87,8,450,774,8,5,71,4.25
13,0.2,3,2,0,identity,singleton,random,1,1,1,1,0,0,0,1,0,-nan
13,0.2,4,2,0,identity,singleton,random,1,1,9470,22,113981,244795,11,7,126,5.27273
13,0.2,5,2,0,identity,singleton,random,1,1,1,1,0,0,0,1,0,-nan
13,0.3,1,2,0,identity,singleton,random,1,1,2882,5,32033,42687,11,7,107,4.36364
13,0.3,2,2,0,identity,singleton,random,1,1,6431,10,85610,163384,11,7,149,5.63636
13,0.3,3,2,0,identity,singleton,random,1,1,9128,47,95400,203931,11,7,127,5.72727
13,0.3,4,2,0,identity,singleton,random,1,1,3582,15,37370,52292,11,7,102,4.36364
13,0.3,5,2,0,identity,singleton,random,1,1,6745,18,75555,122532,11,7,129,4.90909
13,0.4,1,2,0,identity,singleton,random,1,1,12083,35,123914,167673,11,7,108,3.45455
13,0.4,2,2,0,identity,singleton,random,1,1,6577,8,63878,79656,11,7,123,4
13,0.4,3,2,0,identity,singleton,random,1,1,12224,22,121626,225691,11,7,92,3.81818
13,0.4,4,2,0,identity,singleton,random,1,1,10328,25,104400,137456,11,7,101,3.63636
13,0.4,5,2,0,identity,singleton,random,1,1,10417,19,112183,156864,11,7,104,3.81818
